Test_Case,Producer_Rate,Security,Message_Size,Execution,OMB_Latency_50,OMB_Latency_75,OMB_Latency_95,OMB_Latency_99,OMB_Messages,OMB_Bytes,OMB_Duration,OMB_Throughout
TC06,1000,Non-Secure,1024,4,2.171,3.075,4.237,7.051,300730,307.94752,307,1.0030863843648208
TC06,1000,Secure,1024,4,6.072,7.532,9.904,12.57,310273,317.71955199999996,520,0.6109991384615384
TC06,1000,Non-Secure,1024,5,3.138,4.101,5.276,8.026,300777,307.99564799999996,307,1.0032431530944623
TC06,1000,Secure,1024,5,6.244,7.725,10.413,16.882,310348,317.796352,516,0.6158844031007752
TC06,1000,Non-Secure,1024,6,2.897,3.575,4.771,7.518,300655,307.87072,307,1.0028362214983713
TC06,1000,Secure,1024,6,5.943,7.365,9.841,12.398,310078,317.51987199999996,516,0.6153485891472867
TC06,1000,Non-Secure,1024,7,2.302,3.14,4.965,7.423,300740,307.95776,308,0.9998628571428572
TC06,1000,Secure,1024,7,5.809,7.085,9.528,11.34,310333,317.78099199999997,518,0.6134768185328184
TC06,1000,Non-Secure,1024,8,2.549,3.244,5.059,8.33,300707,307.923968,307,1.003009667752443
TC06,1000,Secure,1024,8,5.913,7.269,9.737,12.129,310190,317.63455999999996,516,0.6155708527131782
TC06,1000,Non-Secure,1024,9,2.625,3.292,4.576,6.332,300705,307.92192,308,0.9997464935064935
TC06,1000,Secure,1024,9,5.895,7.256,9.831,13.014,310207,317.651968,520,0.6108691692307693
TC06,1000,Non-Secure,1024,10,2.242,3.135,4.632,7.177,300701,307.917824,307,1.002989654723127
TC06,1000,Secure,1024,10,5.78,7.038,9.502,11.604,310296,317.74310399999996,517,0.6145901431334622
TC07,1000,Non-Secure,10240,1,3.309,4.269,5.585,10.873,300690,3079.0656,308,9.996966233766234
TC07,1000,Secure,10240,1,6.247,7.634,9.978,12.421,303004,3102.76096,514,6.036499922178988
TC07,1000,Non-Secure,10240,2,3.412,4.37,6.06,14.135,300720,3079.3727999999996,307,10.030530293159607
